Instrument,BID,ASK,RT_YIELD_1
US2YT=RR,100.54296875,100.55078125,4.0811
2024-08-19 06:20:09,US2YT=RR,100.5546875,100.5625,4.0749
2024-08-19 06:20:23,US2YT=RR,100.5546875,100.5625,4.0749
2024-08-19 06:20:38,US2YT=RR,100.5546875,100.5625,4.0749
2024-08-19 06:20:52,US2YT=RR,100.5546875,100.5625,4.0749
2024-08-19 06:21:06,US2YT=RR,100.5546875,100.5625,4.0749
2024-08-19 06:21:21,US2YT=RR,100.5546875,100.5625,4.0749
2024-08-19 06:21:35,US2YT=RR,100.5546875,100.5625,4.0749
2024-08-19 06:21:49,US2YT=RR,100.5546875,100.5625,4.0749
2024-08-19 06:22:04,US2YT=RR,100.5546875,100.5625,4.0749
2024-08-19 06:22:18,US2YT=RR,100.55859375,100.56640625,4.0728
2024-08-19 06:22:33,US2YT=RR,100.55859375,100.56640625,4.0728
2024-08-19 06:22:47,US2YT=RR,100.55859375,100.56640625,4.0728
2024-08-19 06:23:02,US2YT=RR,100.55859375,100.56640625,4.0728
2024-08-19 06:23:16,US2YT=RR,100.55859375,100.56640625,4.0728
2024-08-19 06:23:30,US2YT=RR,100.5625,100.56640625,4.0707
2024-08-19 06:23:45,US2YT=RR,100.56640625,100.57421875,4.0686
2024-08-19 06:23:59,US2YT=RR,100.56640625,100.57421875,4.0686
2024-08-19 06:24:13,US2YT=RR,100.56640625,100.5703125,4.0686
2024-08-19 06:24:28,US2YT=RR,100.56640625,100.57421875,4.0686
2024-08-19 06:24:42,US2YT=RR,100.56640625,100.5703125,4.0686
2024-08-19 06:24:57,US2YT=RR,100.56640625,100.57421875,4.0686
2024-08-19 06:25:11,US2YT=RR,100.56640625,100.5703125,4.0686
2024-08-19 06:25:25,US2YT=RR,100.56640625,100.5703125,4.0686
2024-08-19 06:25:40,US2YT=RR,100.56640625,100.5703125,4.0686
2024-08-19 06:25:54,US2YT=RR,100.56640625,100.57421875,4.0686
2024-08-19 06:26:09,US2YT=RR,100.56640625,100.57421875,4.0686
